,precio-dto,precio-lista,descripcion
374,,"$ 272,50",Cerveza roja amber lager Imperial 1 l.
375,,"$ 272,60",Cerveza roja Andes Origen 1 l.
376,,"$ 272,60",Cerveza rubia Andes IPA retornable 1 l.
377,,"$ 60,00",Gaseosa Coca-Cola sin azúcar 220 cc.
378,,"$ 60,00",Gaseosa Coca-Cola sabor original 220 cc.
379,,"$ 60,00",Gaseosa Sprite sin azúcar lima-limón 220 cc.
380,"$ 277,20","$ 308,00",Vino tinto blend Viejo Rincón 1125 cc.
381,"$ 277,20","$ 308,00",Vino tinto blend Marques del Sur 750 cc.
382,"$ 279,90","$ 311,00",Vino tinto borgona Viñas de Balbo 1125 cc.
383,"$ 279,90","$ 311,00",Vino blanco chablis Viñas de Balbo 1125 cc.
384,,"$ 139,00",Cerveza negra Mecklenburger premium dunkel 500 cc.
385,,"$ 139,00",Cerveza de trigo Mecklenburger weibbier 500 cc.
386,,"$ 278,50",Cerveza rubia Heineken Retornable 1 l.
387,"$ 189,00","$ 210,00",Vino blanco dulce Santa Silvia 750 cc.
388,"$ 189,00","$ 210,00",Vino blanco torrontés viogner Santa Silvia 750 cc.
389,,"$ 132,60",Fernet con cola 1882 473 cc.
390,"$ 99,98","$ 133,30",Cerveza blanca Salta cautiva lata 473 cc.
391,,"$ 134,60",Aperitivo Dr. Lemon limón 473 cc.
392,,"$ 134,60",Aperitivo Dr. Lemon vodka 473 cc.
393,,"$ 202,30",Cerveza rubia Budweiser 710 cc.
394,,"$ 135,00",Sidra Del Valle lata 473 cc.
395,,"$ 135,00",Aperitivo con alcohol pomelo vodka Dr Lemon lata 473 cc.
396,,"$ 291,00",Cerveza rubia ipa Imperial 1 l.
397,,"$ 149,00",Cerveza IPA Mecklenburger 500 cc.
398,,"$ 223,58",Vino tinto cabernet sauvignon San Telmo 750 cc.
399,"$ 114,40","$ 143,00",Cerveza rubia Miller 473 cc.
400,"$ 307,80","$ 342,00",Vino tinto Canciller blend III edición especial 1.25 l.
401,"$ 174,00","$ 217,50",Cerveza rubia Miller 710 cc.
402,,"$ 217,50",Cerveza rubia Imperial lager 710 cc.
403,,"$ 145,00",Cerveza rubia Imperial 473 cc.
404,,"$ 299,80",Cerveza blanca Stella Artois botella 975 cc.
405,,"$ 299,80",Cerveza negra noire Stella Artois 975 cc.
406,,"$ 880,00",Cerveza rubia Andes Origen 6 x 473 cc.
407,,"$ 233,39",Vino tinto malbec San Telmo 750 cc.
408,"$ 211,50","$ 235,00",Vino tinto malbec Colón 750 cc.
409,"$ 211,50","$ 235,00",Vino blanco torrontés Colón 750 cc.
410,"$ 211,50","$ 235,00",Vino tinto merlot Colón 750 cc.
411,"$ 211,50","$ 235,00",Vino tinto syrah Colón 750 cc.
412,,"$ 158,00",Jugo concentrado limón 100% Juvin pet 500 cc.
413,"$ 321,75","$ 357,50",Vino tinto bonarda syrah Valderrobles 1.125 l.
414,"$ 215,55","$ 239,50",Vino tinto cabernet sauvignon Cava Don Carlos 750 cc.
415,"$ 215,55","$ 239,50",Vino tinto malbec Cava Don Carlos 750 cc.
416,,"$ 240,00",Vino tinto malbec Marques del Sur 750 cc.
417,"$ 216,00","$ 240,00",Vino tinto cabernet sauvignon Marques del Sur 750 cc.
418,"$ 330,75","$ 367,50",Vino tinto malbec Nampe 1.125 l.
419,"$ 330,75","$ 367,50",Vino tinto cabernet sauvignon Nampe 1.125 l.
420,,"$ 154,90",Bebida energizante Speed lata 473 cc.
421,"$ 221,85","$ 246,50",Vino tinto Toro lacrado 750 cc.
422,"$ 896,40","$ 996,00",Vino tinto Canciller blend I bib 3 l.
423,,"$ 943,00",Cerveza rubia Andes IPA 6 X 473 cc.
424,,"$ 136,50",Cerveza blanca Quilmes doble malta lata 410 cc.
425,,"$ 73,60",Gaseosa Coca-Cola café 220 cc.
426,"$ 233,25","$ 311,00",Cerveza rubia Grolsch retornable 925 cc.
427,,"$ 84,20",Bebida energizante Speed 250 cc.
428,"$ 194,68","$ 243,35",Cerveza rubia Heineken 710 cc.
429,,"$ 257,57",Vino tinto malbec Alaris 750 cc.
430,"$ 232,65","$ 258,50",Vino blanco chenin chard dulce Estancia Mendoza 750 cc.
431,"$ 232,65","$ 258,50",Vino tinto bonarda malbec Estancia Mendoza 750 cc.
432,"$ 233,10","$ 259,00",Vino tinto Canciller blend III edición especial 750 cc.
433,,"$ 259,50",Licor Ombú Padilla caña durazno 750 cc.
434,,"$ 173,91",Jugo de limón Minerva pet 500 cc.
435,"$ 234,90","$ 261,00",Vino tinto syrah cabernet Suter 750 cc.
436,,"$ 165,00",Cerveza rubia Sol 473 cc.
437,,"$ 248,50",Cerveza dorada Brahma botella 710 cc.
438,,"$ 28,13",Jugo en polvo Clight naranja vitaminas C + D 8 g.
439,"$ 237,60","$ 264,00",Vino tinto Suter cabernet sauvignon 750 cc.
440,"$ 238,50","$ 265,00",VIno tinto cabernet sauvignon Viejo Rincón 750 cc.
441,,"$ 70,80",Ades soja + jugo de manzana 200 cc.
442,,"$ 70,80",Jugo Ades soja naranja 200 cc.
443,,"$ 70,80",Ades soja + jugo de frutas tropicales 200 cc.
444,,"$ 1.005,00",Cerveza roja Andes Origen 6 x 473 cc.
445,,"$ 1.005,00",Cerveza negra Andes Origen 6 x 473 cc.
446,,"$ 169,00",Cerveza roja amber lager Imperial 473 cc.
447,,"$ 169,00",Vodka Smirnoff ice original lata 473 cc.
448,"$ 370,80","$ 412,00",Vino tinto cabernet suavignon Canciller 1125 cc.
449,,"$ 367,50",Jugo de limón Minerva pet 1 l.
450,"$ 249,30","$ 277,00",Vino tinto malbec Novecento 750 cc.
451,"$ 249,30","$ 277,00",Vino tinto cabernet sauvignon Novecento 750 cc.
452,,"$ 277,05",Vino tinto malbec seleccion Los Árboles 750 cc.
453,,"$ 174,90",Vodka Smirnoff ice greenapple lata 473 cc.
454,,"$ 185,30",Jugo orgánico S limón con jengibre botella 500 cc.
455,,"$ 185,30",Limonada orgánica Simply Go con hibiscus botella 500 ml.
456,,"$ 185,30",Limonada orgánica Simply Go con cúrcuma botella 500 ml.
457,,"$ 185,30",Jugo orgánico S manzana botella 500 cc.
458,,"$ 28,13",Jugo en polvo Clight naranja dulce vitaminas C + D 7.5 g.
459,,"$ 357,00",Aperitivo Amargo Obrero 950 cc.
460,"$ 255,15","$ 283,50",Vino tinto malbec Cuesta del madero 750 cc.
461,"$ 255,15","$ 283,50",Vino tinto cabernet sauvignon Cuesta del madero 750 cc.
462,"$ 255,60","$ 284,00",Vino tinto merlot malbec Estancia Mendoza 750 cc.
463,"$ 255,60","$ 284,00",Vino tinto cabernet malbec Estancia Mendoza 750 cc.
464,,"$ 196,20",Cerveza ipa Pampa Brewing lata 473 cc.
465,,"$ 196,20",Cerveza amber ale Pampa Brewing lata 473 cc.
466,,"$ 196,20",Cerveza golden ale Pampa brewing lata 473 cc.
467,,"$ 285,60",Jugo concentrado granadina Cusenier 750 g.
468,,"$ 279,70",Cerveza Patagonia ipa ow vera 730 cc.
469,,"$ 280,20",Cerveza roja Patagonia amber lager 730 cc.
470,,"$ 280,20",Cerveza rubia Patagonia 24.7 IPA con sauco 730 cc.
471,,"$ 280,20",Cerveza rubia Patagonia hoppy lager 730 cc.
472,,"$ 280,20",Cerveza rubia Patagonia bohemian 730 cc.
473,,"$ 280,20",Cerveza rubia Patagonia kune 730 cc.
474,,"$ 384,00",Bebida energizante Speed pack 4 u.
475,"$ 259,65","$ 288,50",Vino tinto malbec Viejo Rincón 750 cc.
476,"$ 260,10","$ 289,00",Vino blanco clásico Norton 1895 750 cc.
477,"$ 260,10","$ 289,00",Vino tinto clásico Norton 1895 750 cc.
478,,"$ 30,90",Jugo en polvo Clight mandarina vitaminas C + D 8 g.
479,"$ 261,00","$ 290,00",Vino oporto Crotta 750 cc.
480,"$ 261,00","$ 290,00",Vino mistela Crotta 750 cc.
481,"$ 261,00","$ 290,00",Vino jerez Crotta 750 cc.
482,,"$ 120,00",Aperitivo Livenza spritz + soda 310 cc.
483,"$ 786,75","$ 1.049,00",Cerveza blanca Stella Artois lata 269 cc. x 10 uni
484,"$ 148,24","$ 185,30",Cerveza rubia Heineken 473 cc.
485,,"$ 299,46",Vino tinto cabernet sauvignon Benjamin 750 cc.
486,,"$ 299,80",Vino tinto malbec Benjamin Nieto 750 cc.
487,,"$ 301,00",Licor de miel Cusenier mariposa 750 cc.
488,,"$ 1.140,00",Cerveza blanca Stella Artois lata 6 473 cc.
489,,"$ 28,13",Jugo en polvo Clight manzana deliciosa vitaminas C + D 7 g.
490,,"$ 381,78",Aperitivo Gancia americano 950 cc.
491,,"$ 383,80",Aperitivo americano Leger Cazalis 950 cc.
492,,"$ 406,47",Ginebra Bols bicentenario 1 l.
493,,"$ 290,15",Cerveza rubia Corona 710 cc.
494,"$ 277,20","$ 308,00",Vino blanco Amenni 750 cc.
495,"$ 277,20","$ 308,00",Vino rosado Amenni 750 cc.
496,,"$ 196,20",Cerveza honey Pampa brewing lata 473 cc.
497,,"$ 312,75",Vino blanco chardonnay Benjamin 750 cc.
498,,"$ 417,00",Aperitivo Martini rosso 1 l.
499,"$ 21,98","$ 29,30",Jugo en polvo BC La Campagnola ananá 7 g.
500,,"$ 198,40",Cerveza rubia Imperial Apa 473 cc.
501,"$ 283,50","$ 315,00",Vino tinto malbec Eugenio Bustos 750 cc.
502,,"$ 399,00",Vermouth Carpano Rosso 950 cc.
503,"$ 283,50","$ 315,00",Vino tinto cabernet sauvignon Eugenio Bustos 750 cc.
504,"$ 289,80","$ 322,00",Vino tinto malbec Pacheco pereda 750 cc.
505,"$ 289,80","$ 322,00",Vino tinto cabernet sauvignon Pacheco pereda 750 cc.
506,,"$ 433,40",Vodka Nikov 1 l.
507,"$ 22,80","$ 30,40",Jugo en polvo BC La Campagnola naranja 7 g.
508,,"$ 135,00",Aperitivo c/ alcohol Dr Lemon gin tonic lata 310 ml.
509,,"$ 135,00",Aperitivo c/ alcohol Dr Lemon gin tonic 99 kcal lata 310 ml.
510,"$ 588,60","$ 654,00",Vino tinto malbec Chacabuco 1.5 l.
511,"$ 1.178,10","$ 1.309,00",Vino tinto Dilema malbec day bib 3 l.
512,,"$ 310,70",Cerveza red honey Rabieta botella 710 cc.
513,,"$ 310,70",Cerveza rubia Rabieta american Ipa 710 cc.
514,,"$ 310,70",Cerveza roja Rabieta Irish molly otoole 710 cc.
515,,"$ 310,70",Cerveza rubia Rabieta golden ale 710 cc.
516,,"$ 310,70",Cerveza apa Rabieta botella 710 cc.
517,,"$ 310,70",Cerveza roja Rabieta ipa 710 cc.
518,,"$ 219,00",Cerveza lager Bear Beer lata 500 cc.
519,"$ 296,10","$ 329,00",Vino tinto malbec Omnium 750 cc.
520,"$ 296,10","$ 329,00",Vino tinto cabernet sauvignon Omnium 750 cc.
521,"$ 123,12","$ 136,80",Vino tinto Omnium malbec lata 310 cc.
522,"$ 23,25","$ 31,00",Jugo en polvo BC La Campagnola naranja dulce 7 g.
523,"$ 23,25","$ 31,00",Jugo en polvo BC La Campagnola manzana roja 7 g.
524,"$ 23,25","$ 31,00",Jugo en polvo BC La Campagnola mango naranja 7 g.
525,"$ 23,25","$ 31,00",Jugo en polvo BC La Campagnola naranja durazno 7 g.
526,,"$ 1.275,00",Cerveza rubia Patagonia kune 6 u. x 473 cc.
527,"$ 305,10","$ 339,00",Vino tinto malbec Los Pasos 750 cc.
528,"$ 305,10","$ 339,00",Vino tinto red blend Los Pasos 750 cc.
529,"$ 305,10","$ 339,00",Vino tinto cabernet sauvignon Los Pasos 750 cc.
530,,"$ 214,00",Cerveza nitro cream Pampa Brewing stout lata 473 cc.
531,"$ 306,45","$ 340,50",Vino tinto malbec Nampe 750 cc.
532,"$ 306,45","$ 340,50",Vino tinto cabernet sauvignon Nampe 750 cc.
533,,"$ 218,00",Cerveza Rabieta Helles Munich lata 473 cc.
534,,"$ 380,40",Vino tinto malbec San Felipe 750 cc.
535,,"$ 380,40",Vino tino cabernet sauvignon San Felipe 750 cc.
536,,"$ 350,00",Fernet Vittone 750 cc.
537,"$ 315,00","$ 350,00",Vino tinto Desigual malbec 750 cc.
538,"$ 315,00","$ 350,00",Vino tinto Desigual cabernet sauvignon 750 cc.
539,"$ 316,80","$ 352,00",Vino tinto malbec Finca Las Moras 750 cc.
540,"$ 316,80","$ 352,00",Vino rosado dulce Dadá 750 cc.
541,"$ 316,80","$ 352,00",Vino tinto merlot trapiche Alaris 750 cc.
542,"$ 316,80","$ 352,00",Vino tinto syrah Finca Las Moras 750 cc.
543,"$ 316,80","$ 352,00",Vino tinto syrah Alaris 750 cc.
544,"$ 316,80","$ 352,00",Vino tinto cabernet sauvignon Alaris 750 cc.
545,,"$ 235,00",Jugo de manzana Las Brisas sin azúcar orgánico 500 cc.
546,,"$ 222,60",Cerveza negra Peñón del Águila schwarzbier 473 cc.
547,,"$ 222,60",Cerveza rubia Peñón del Águila honigbier 473 cc.
548,,"$ 222,60",Cerveza negra Peñón del Águila 473 cc.
549,,"$ 222,60",Cerveza rubia Peñón del Águila mexican lager 473 cc.
550,,"$ 222,60",Cerveza rubia Peñón del Águila hefeweizen 473 cc.
551,,"$ 222,60",Cerveza rubia Peñón del águila 473 cc.
552,"$ 950,25","$ 1.267,00",Cerveza rubia Patagonia hoppy lager 269 cc. 10 u.
553,"$ 318,60","$ 354,00",Vino tinto Dilema Day malbec 750 cc.
554,"$ 318,60","$ 354,00",Vino tinto Dilema Day cabernet 750 cc.
555,,"$ 225,00",Cerveza bock Blest lata 473 cc.
556,,"$ 225,00",Cerveza pilsen Blest lata 473 cc.
557,"$ 322,20","$ 358,00",Vino blanco sauvignon Benjamín 750 cc.
558,,"$ 239,00",Cerveza ipa Bear Beer lata 500 cc.
559,"$ 323,10","$ 359,00",Vino rosado Colon Selecto 750 cc.
560,"$ 323,10","$ 359,00",Vino tinto malbec Colon Selecto 750 cc.
561,"$ 323,10","$ 359,00",Vino tinto cabernet sauvignon Colon Selecto 750 cc.
562,"$ 323,10","$ 359,00",Vino tinto merlot cabernet sauvignon Colon Selecto 750 cc.
563,"$ 323,10","$ 359,00",Vino tinto syrah malbec Colon Selecto 750 cc.
564,"$ 324,00","$ 360,00",Espumante extra brut Novecento 750 cc.
565,,"$ 360,00",Vino tinto malbec Latitud 33 750 cc.
566,"$ 324,00","$ 360,00",Vino tinto malbec Callia hoy 750 cc.
567,,"$ 360,00",Vino blanco chardonnay Latitud 33 750 cc.
568,"$ 324,00","$ 360,00",Vino tinto syrah-malbec Callia Alta 750 cc.
569,"$ 324,00","$ 360,00",Vino tinto cabernet sauvignon Callia hoy 750 cc.
570,"$ 324,00","$ 360,00",Vino tinto syrah-cabernet Callia 750 cc.
571,"$ 324,00","$ 360,00",Vino tinto syrah Callia 750 cc.
572,,"$ 360,00",Vino tinto syrah Latitud 33 750 cc.
573,,"$ 338,48",Licor Cusenier café al cognac 700 cc.
574,,"$ 230,00",Cerveza honey Bierhaus lata 473 cc.
575,,"$ 230,00",Cerveza scotch Bierhaus lata 473 cc.
576,"$ 328,50","$ 365,00",Vino tinto cabernet Cafayate 750 cc.
577,"$ 328,50","$ 365,00",Vino tinto syrah Cafayate 750 cc.
578,,"$ 1.388,00",Cerveza rubia Temple ipa 473 cc. 6 u.
579,,"$ 1.388,00",Cerveza rubia Temple roja 473 cc. 6 u.
580,,"$ 1.388,00",Cerveza witbier miel Patagonia Abrazo De Oso 473 cc. x 6 uni
581,,"$ 367,00",Vino blanco Dadá malbec white 750 cc.
582,"$ 331,70","$ 368,56",Vino fino tinto blend El Bautismo 750 cc.
583,,"$ 246,00",Jugo de naranja Las Brisas sin azúcar orgánico 500 cc.
584,,"$ 175,00",Cerveza Blest pilsen 355 cc.
585,,"$ 175,00",Cerveza Blest bock 355 cc.
586,,"$ 175,00",Cerveza Blest scotch 355 cc.
587,"$ 335,70","$ 373,00",Vino tinto malbec bonarda Benjamin 750 cc.
588,"$ 335,70","$ 373,00",Vino tinto merlot Benjamin Nieto 750 cc.
589,"$ 335,70","$ 373,00",Vino tinto syrah Benjamin Nieto 750 cc.
590,"$ 335,70","$ 373,00",Vino tinto tempranillo Benjamin Nieto 750 cc.
591,"$ 337,50","$ 375,00",Vino tinto malbec Aimé 750 cc.
592,,"$ 408,80",Vino blanco clásico San Felipe 750 cc.
593,,"$ 408,80",Vino tinto San Felipe 12 uvas 750 cc.
594,"$ 338,40","$ 376,00",Vino tinto malbec Novecento raices 750 cc.
595,"$ 338,40","$ 376,00",Vino tinto cabernet sauvignon Novecento raíces 750 cc.
596,"$ 341,10","$ 379,00",Vino blanco chardonnay Elegido 750 cc.
597,"$ 341,10","$ 379,00",Vino tinto malbec Cosecha Elegido Norton 750 cc.
598,"$ 341,10","$ 379,00",Vino tinto cabernet sauvignon Cosecha Elegido Norton 750 cc.
599,,"$ 239,80",Cerveza ipa Chachingo lata 473 cc.
600,,"$ 239,80",Cerveza Chachingo amber lata 473 cc.
601,,"$ 239,80",Cerveza pale ale Chachingo lata 473 cc.
602,,"$ 180,85",Bebida energizante Red Bull lata 355 cc.
603,,"$ 241,00",Cerveza roja Rabieta honey 473 cc.
604,,"$ 241,00",Cerveza rubia Rabieta ipa 473 cc.
605,,"$ 241,00",Cerveza roja Rabieta irish ale 473 cc.
606,,"$ 241,00",Cerveza roja Rabieta ipa 473 cc.
607,,"$ 241,00",Cerveza rubia Rabieta golden ale 473 cc.
608,,"$ 1.257,00",Cerveza roja amber lager Patagonia lata 6 410 cc.
609,,"$ 209,60",Cerveza bohemian Patagonia lata 410 cc.
610,"$ 346,50","$ 385,00",Espumante Novecento extra dulce 750 cc.
611,,"$ 231,00",Fernet Vittone 450 cc.
612,"$ 346,95","$ 385,50",Vino fino tinto malbec El Bautismo 750 cc.
613,"$ 348,30","$ 387,00",Vino tinto malbec Chacabuco 750 cc.
614,"$ 348,30","$ 387,00",Vino tinto cabernet sauvignon Chacabuco 750 cc.
615,,"$ 160,00",Hard seltzer Meet pomelo lata 310 cc.
616,,"$ 160,00",Hard seltzer Meet lima lata 310 cc.
617,,"$ 160,00",Hard seltzer Meet mango lata 310 cc.
618,,"$ 245,00",Cerveza honey Blest lata 473 cc.
619,,"$ 245,00",Cerveza Blest ipa lata 473 cc.
620,"$ 351,00","$ 390,00",Vino tinto roble-cabernet sauvignon Don Valentín Lacrado 750 cc.
621,"$ 351,00","$ 390,00",Vino blanco torrontés Don Valentín Lacrado 750 cc.
622,"$ 351,00","$ 390,00",Vino tinto malbec Tierra del Fuego 750 cc.
623,"$ 351,00","$ 390,00",Vino tinto rosado Tierra Del Fuego 750 cc.
624,,"$ 185,00",Cerveza Blest honey 355 cc.
625,,"$ 185,00",Cerveza Blest ipa 355 cc.
626,,"$ 185,00",Cerveza apa Blest 355 l.
627,,"$ 392,17",Cognac añejo licor Otard Dupuy 750 cc.
628,,"$ 186,00",Gin tonic Covent american dry cero lata 354 cc.
629,,"$ 395,00",Licor edición homenaje Legui 750 cc.
630,"$ 355,50","$ 395,00",Vino tinto malbec Eugenio Bustos leyenda 750 cc.
631,,"$ 186,50",Gin tonic Covent american dry lata 354 cc.
632,,"$ 186,50",Gin tonic Covent pink lata 354 cc.
633,"$ 1.072,50","$ 1.430,00",Cerveza rubia Corona 269 cc. 10 u.
634,,"$ 373,76",Licor de dulce de leche premium Bols 700 cc.
635,,"$ 267,30",Cerveza artesanal scotch Antares botella 500 cc.
636,"$ 363,15","$ 403,50",Vino blanco Frida sauvignon blanc 750 cc.
637,,"$ 270,60",Jugo de arándano Las Brisas sin azúcar orgánico 500 cc.
638,,"$ 270,60",Jugo de naranja Las Brisas orgánico 500 cc.
639,"$ 366,75","$ 407,50",Vino blanco chardonnay Aimé 750 cc.
640,,"$ 257,40",Cerveza artesanal honey Antares lata 473 cc.
641,,"$ 257,40",Cerveza artesanal scotch Antares lata 473 cc.
642,,"$ 257,40",Cerveza artesanal kolsch Antares lata 473 cc.
643,,"$ 136,25",Bebida energizante Red Bull sugar free 250 cc.
644,,"$ 409,80",Whisky Hiram walker 750 cc.
645,,"$ 170,00",Hard seltzer mango Hard Fresh lata 310 cc.
646,,"$ 170,00",Hard seltzer pomelo Hard Fresh lata 310 cc.
647,,"$ 170,00",Agua con gas y alcohol Topo-Chico frutilla 310 ml.
648,,"$ 170,00",Agua con gas y alcohol Topo-Chico ananá 310 ml.
649,,"$ 170,00",Agua con gas y alcohol Topo-Chico lima-limón 310 ml.
650,"$ 372,60","$ 414,00",Vino tinto Estancia Mendoza cabernet cadenas 750 cc.
651,"$ 373,50","$ 415,00",Vino tinto Frida cabernet sauvignon 750 cc.
652,"$ 140,22","$ 155,80",Frizante blanco New Age lata 269 cc.
653,"$ 374,40","$ 416,00",Vino tinto cabernet sauvignon Pacheco Pereda 750 cc.
654,"$ 1.497,60","$ 1.664,00",Vino tinto Finca Magnolia malbec bib 3 l.
655,,"$ 555,00",Vermouth Cinzano bianco Botella 1 l.
656,"$ 375,30","$ 417,00",Vino blanco dulce torrontés Elementos 750 cc.
657,"$ 375,30","$ 417,00",Vino rosado torrontés Elementos 750 cc.
658,"$ 375,30","$ 417,00",Vino blanco torrontés Elementos 750 cc.
659,,"$ 417,60",Vino tinto malbec Elementos 750 cc.
660,,"$ 417,60",Vino tinto cabernet sauvignon Elementos 750 cc.
661,,"$ 417,60",Vino tinto syrah Elementos 750 cc.
662,,"$ 264,00",Cerveza extra stout Guinnes lata 473 cc.
663,"$ 378,00","$ 420,00",Vino tinto malbec Pacheco Pereda 750 cc.
664,,"$ 185,30",Jugo orgánico limón con jengibre S botella 330 cc.
665,,"$ 185,30",Jugo orgánico naranja S 330 cc.
666,,"$ 185,30",Limonada orgánica con curcuma Simply Go botella 330 ml.
667,,"$ 185,30",Jugo orgánico multifruta S 330 cc.
668,,"$ 185,30",Limonada orgánica con hibiscus Simply Go botella 330 ml.
669,,"$ 185,30",Jugo orgánico manzana S botella 330 cc.
670,"$ 379,35","$ 421,50",Vino tinto Desigual cabernet franc 750 cc.
671,"$ 379,35","$ 421,50",Vino blanco Desigual dulce 750 cc.
672,"$ 760,50","$ 845,00",Vino tinto malbec Portillo 1.5 l.
673,"$ 382,50","$ 425,00",Vino tinto malbec Terra 750 cc.
674,"$ 382,50","$ 425,00",Vino tinto cabernet sauvignon Serie Terra 750 cc.
675,"$ 383,40","$ 426,00",Vino tinto malbec Fran 750 cc.
676,"$ 383,40","$ 426,00",Vino tinto blend Fran 750 cc.
677,"$ 383,40","$ 426,00",Vino blanco chardonnay Fran 750 cc.
678,,"$ 1.614,00",Cerveza Goose Island lata 6 uni x 473 cc.
679,"$ 385,20","$ 428,00",Vino rose Aimé 750 cc.
680,"$ 385,20","$ 428,00",Vino tinto cabernet sauvignon Aimé 750 cc.
681,"$ 385,20","$ 428,00",Vino tinto red blend Aimé 750 cc.
682,,"$ 270,00",Cerveza ipa Bierhaus lata 473 cc.
683,"$ 386,10","$ 429,00",Vino tinto cabernet reserva San Huberto clásico 750 cc.
684,"$ 387,00","$ 430,00",Espumante extra brut Callia 750 cc.
685,"$ 387,00","$ 430,00",Vino tinto syrah-malbec Esperado 750 cc.
686,"$ 387,00","$ 430,00",Vino tinto syrah cabernet Callia esperado 750 cc.
687,"$ 387,00","$ 430,00",Vino tinto cabernet sauvignon Callia 750 cc.
688,"$ 387,00","$ 430,00",Vino tinto malbec Callia Esperado 750 cc.
689,"$ 387,90","$ 431,00",Vino tinto malbec Kadabra 750 cc.
690,"$ 387,90","$ 431,00",Vino tinto cabernet sauvignon Kadabra 750 cc.
691,,"$ 405,00",Licor Cusenier chocolate 700 cc.
692,,"$ 405,00",Licor Cusenier lemoncello 700 cc.
693,,"$ 405,00",Licor Cusenier melón 700 cc.
694,,"$ 405,00",Licor Cusenier huevo 700 cc.
695,,"$ 405,00",Licor Cusenier café 700 cc.
696,,"$ 217,00",Vino tinto Valmont 375 cc.
697,"$ 390,60","$ 434,00",Vino blanco Finca magnolia blend 750 cc.
698,"$ 390,60","$ 434,00",Vino tinto Finca magnolia cabernet 750 cc.
699,"$ 390,60","$ 434,00",Vino tinto Finca magnolia malbec 750 cc.
700,,"$ 474,20",Vino tinto cabernet sauvignon San Felipe roble 750 cc.
701,,"$ 145,65",Bebida energizante tropical Red Bull lata 250 cc.
702,"$ 423,00","$ 470,00",Vino tinto malbec Alchimia 750 cc.
703,"$ 423,00","$ 470,00",Vino tinto cabernet sauvignon Alchimia 750 cc.
704,,"$ 440,00",Espumante extra brut Mercier 750 cc.
705,,"$ 440,00",Espumante demi sec Mercier 750 cc.
706,,"$ 440,00",Espumante Mercier dulce 750 cc.
707,"$ 396,90","$ 441,00",Vino tinto malbec Dadá 750 cc.
708,"$ 396,90","$ 441,00",Vino tinto Dadá 8 chocolate 750 cc.
709,"$ 396,90","$ 441,00",Vino tinto malbec-bonarda Dadá n°1 750 cc.
710,"$ 396,90","$ 441,00",Vino tinto merlot Dadá 2 750 cc.
711,"$ 396,90","$ 441,00",Vino tinto syrah cabernet Dadá 3 750 cc.
712,"$ 400,50","$ 445,00",Vino rosado Cosecha Tardía 750 cc.
713,"$ 400,50","$ 445,00",Vino tinto Norton cosecha tardia 750 cc.
714,"$ 404,10","$ 449,00",Vino blanco chardonnay Finca Los Primos 750 cc.
715,"$ 404,10","$ 449,00",Vino tinto Mandala malbec 750 cc.
716,"$ 404,10","$ 449,00",Vino tinto pinot noit Finca Los Primos 750 cc.
717,"$ 405,00","$ 450,00",Vino tinto malbec Bravío 750 cc.
718,,"$ 300,00",Cerveza negra Weidmann pilsener lata 500 cc.
719,"$ 405,00","$ 450,00",Vino tinto syrah Bravio 750 cc.
720,"$ 405,00","$ 450,00",Vino tinto cabernet sauvignon Bravío 750 cc.
721,,"$ 451,00",Vodka Bols pomelo 750 cc.
722,,"$ 451,00",Vodka Bols sandia 750 cc.
723,"$ 406,80","$ 452,00",Vino tinto cabernet sauvignon Sade 750 cc.
724,"$ 409,50","$ 455,00",Vino tinto malbec Los Haroldos Estate 750 cc.
725,"$ 409,50","$ 455,00",Vino tinto blend Los Haroldos Estate 750 cc.
726,"$ 409,50","$ 455,00",Vino tinto cabernet sauvignon Los Haroldos Estate 750 cc.
727,"$ 409,50","$ 455,00",Vino blanco chardonnay Estate 750 cc.
728,,"$ 287,10",Cerveza rubia Peñón del Águila waldbier 473 cc.
729,"$ 412,20","$ 458,00",Espumante Federico de Alvear extra brut 750 cc.
730,,"$ 153,00",Jugo manzana Fruggina botella 250 ml.
731,,"$ 153,00",Jugo pera Fruggina botella 250 ml.
732,,"$ 307,70",Cerveza artesanal honey Antares botella 500 cc.
733,,"$ 619,50",Aperitivo Martini extra Dry 1 l.
734,"$ 418,50","$ 465,00",Vino tinto malbec Alma Mora 750 cc.
735,"$ 418,50","$ 465,00",Vino tinto cabernet sauvignon Alma Mora 750 cc.
736,"$ 418,50","$ 465,00",Vino tinto syrah Alma Mora 750 cc.
737,,"$ 126,40",Whisky Doble v 200 cc.
738,"$ 427,50","$ 475,00",Espumante Federico de Alvear demi sec 750 cc.
739,"$ 215,10","$ 239,00",Vino tinto malbec Los Pasos 375 cc.
740,"$ 432,00","$ 480,00",Vino tinto malbec Portillo 750 cc.
741,"$ 432,00","$ 480,00",Vino blanco sauvignon blanc Portillo 750 cc.
742,"$ 432,00","$ 480,00",Vino rosado malbec Portillo 750 cc.
743,"$ 432,00","$ 480,00",Vino tinto cabernet sauvignon Portillo 750 cc.
744,"$ 432,00","$ 480,00",Vino tinto pinot noir Portillo 750 cc.
745,"$ 432,00","$ 480,00",Vino blanco chardonnay Portillo 750 cc.
746,"$ 432,00","$ 480,00",Vino tinto merlot Portillo 750 cc.
747,"$ 432,00","$ 480,00",Vino tinto tempranillo Portillo 750 cc.
